Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HelpDesk_DynamicTS,Chrome 139.0.7258.128,,,18-08-2025 23:09:35,18-08-2025 23:10:51,1m - 16.584s,PASSED
,,,,,,,
Test Cases/AI-Generated/JustInMind-Production/TC2-TC02 Verify Searching Function on the Help Center Page,Chrome 139.0.7258.128,"1. Navigate to https://www.justinmind.com/ 
    2. Hover on Free Resources 
    3. Select the Help Center 
    4. Type ""Dropdown list"" in the ""What are you looking for"" search box 
    5. Click on the ""magnifying glass"" icon",HelpCenter,18-08-2025 23:09:35,18-08-2025 23:10:22,47.692s,PASSED
"DATA BINDING - {""(Default) expec..."":""dropdown list (14)"",""(Default) input..."":""dropdown list""}",,,,,,,
Start listener action : beforeTestCase,Chrome 139.0.7258.128,,,18-08-2025 23:09:35,18-08-2025 23:09:35,0.012s,PASSED
Start setup action : setup,Chrome 139.0.7258.128,,,18-08-2025 23:09:35,18-08-2025 23:09:36,1.643s,PASSED
reportLocation = getReportFolder(),Chrome 139.0.7258.128,,,18-08-2025 23:09:36,18-08-2025 23:09:36,0.000s,PASSED
"""Initialize test session: Open browser and set view port""",Chrome 139.0.7258.128,,,18-08-2025 23:09:36,18-08-2025 23:09:36,0.002s,PASSED
"TrueTestScripts.navigate(""/"")",Chrome 139.0.7258.128,Step 1: Navigate to /,,18-08-2025 23:09:36,18-08-2025 23:09:42,5.970s,PASSED
"mouseOver(findTestObject(""AI-Generated/JustInMind-Production/Page_home/span_freeResources""))",Chrome 139.0.7258.128,Step 2: Hover over span freeResources,,18-08-2025 23:09:42,18-08-2025 23:09:43,0.389s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_home/div_helpCenter""))",Chrome 139.0.7258.128,Step 3: Click on div helpCenter -> Navigate to page '/support',,18-08-2025 23:09:43,18-08-2025 23:10:18,35.073s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support/input_search""))",Chrome 139.0.7258.128,Step 4: Click on input search,,18-08-2025 23:10:18,18-08-2025 23:10:18,0.088s,PASSED
"setText(findTestObject(""AI-Generated/JustInMind-Production/Page_support/input_search""), input_search)",Chrome 139.0.7258.128,Step 5: Enter input value in input search,,18-08-2025 23:10:18,18-08-2025 23:10:18,0.107s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support/button_submit""))",Chrome 139.0.7258.128,Step 6: Click on button submit -> Navigate to page '/support/search',,18-08-2025 23:10:18,18-08-2025 23:10:21,3.384s,PASSED
"actualText = getText(findTestObject(""AI-Generated/JustInMind-Production/Page_support_search/span_dropdownList""))",Chrome 139.0.7258.128,Step 7: Click on span dropdownList -> Navigate to page '',,18-08-2025 23:10:21,18-08-2025 23:10:21,0.026s,PASSED
"verifyEqual(actualText, expectedText)",Chrome 139.0.7258.128,,,18-08-2025 23:10:21,18-08-2025 23:10:21,0.005s,PASSED
"takeFullPageScreenshotAsCheckpoint(""TC2-TC02 Verify Searching Function on the Help Center Page_visual_checkpoint"")",Chrome 139.0.7258.128,Step 8: Take full page screenshot as checkpoint,,18-08-2025 23:10:21,18-08-2025 23:10:22,0.844s,PASSED
Start tear down : teardown,Chrome 139.0.7258.128,,,18-08-2025 23:10:22,18-08-2025 23:10:22,0.120s,PASSED
,,,,,,,
Test Cases/AI-Generated/JustInMind-Production/TC3-TC03 Verify the Tree View,Chrome 139.0.7258.128,"1. Navigate to https://www.justinmind.com/support/exercises-data 
    2.  Click on each subset of the Data List",HelpCenter,18-08-2025 23:10:22,18-08-2025 23:10:33,10.943s,PASSED
"DATA BINDING - {""(Default) heade..."":""6""}",,,,,,,
Start listener action : beforeTestCase,Chrome 139.0.7258.128,,,18-08-2025 23:10:23,18-08-2025 23:10:23,0.002s,PASSED
Start setup action : setup,Chrome 139.0.7258.128,,,18-08-2025 23:10:23,18-08-2025 23:10:25,2.344s,PASSED
reportLocation = getReportFolder(),Chrome 139.0.7258.128,,,18-08-2025 23:10:25,18-08-2025 23:10:25,0.001s,PASSED
"""Initialize test session: Open browser and set view port""",Chrome 139.0.7258.128,,,18-08-2025 23:10:25,18-08-2025 23:10:25,0.001s,PASSED
"TrueTestScripts.navigate(""/support/exercises-data"")",Chrome 139.0.7258.128,Step 1: Navigate to /support/exercises-data,,18-08-2025 23:10:25,18-08-2025 23:10:28,3.574s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_displayingDataMasterRecords""))",Chrome 139.0.7258.128,Step 2: Click on link displayingDataMasterRecords,,18-08-2025 23:10:28,18-08-2025 23:10:28,0.065s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/header_displayingDataMasterRecords""))",Chrome 139.0.7258.128,Step 3: Click on header displayingDataMasterRecords,,18-08-2025 23:10:28,18-08-2025 23:10:29,0.043s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_properties""))",Chrome 139.0.7258.128,Step 4: Click on link properties,,18-08-2025 23:10:29,18-08-2025 23:10:29,0.032s,PASSED
