Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HelpCenter_DTS,Chrome 139.0.7258.128,,,18-08-2025 23:15:27,18-08-2025 23:16:12,44.714s,PASSED
,,,,,,,
Test Cases/AI-Generated/JustInMind-Production/TC3-TC03 Verify the Tree View,Chrome 139.0.7258.128,"1. Navigate to https://www.justinmind.com/support/exercises-data 
    2.  Click on each subset of the Data List",HelpCenter,18-08-2025 23:15:28,18-08-2025 23:15:54,26.096s,PASSED
"DATA BINDING - {""(Default) heade..."":""6""}",,,,,,,
Start listener action : beforeTestCase,Chrome 139.0.7258.128,,,18-08-2025 23:15:28,18-08-2025 23:15:28,0.056s,PASSED
Start setup action : setup,Chrome 139.0.7258.128,,,18-08-2025 23:15:28,18-08-2025 23:15:35,6.735s,PASSED
reportLocation = getReportFolder(),Chrome 139.0.7258.128,,,18-08-2025 23:15:35,18-08-2025 23:15:35,0.005s,PASSED
"""Initialize test session: Open browser and set view port""",Chrome 139.0.7258.128,,,18-08-2025 23:15:35,18-08-2025 23:15:35,0.007s,PASSED
"TrueTestScripts.navigate(""/support/exercises-data"")",Chrome 139.0.7258.128,Step 1: Navigate to /support/exercises-data,,18-08-2025 23:15:35,18-08-2025 23:15:42,7.284s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_displayingDataMasterRecords""))",Chrome 139.0.7258.128,Step 2: Click on link displayingDataMasterRecords,,18-08-2025 23:15:42,18-08-2025 23:15:42,0.219s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/header_displayingDataMasterRecords""))",Chrome 139.0.7258.128,Step 3: Click on header displayingDataMasterRecords,,18-08-2025 23:15:42,18-08-2025 23:15:43,0.115s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_properties""))",Chrome 139.0.7258.128,Step 4: Click on link properties,,18-08-2025 23:15:43,18-08-2025 23:15:43,0.083s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType]))",Chrome 139.0.7258.128,Step 5: Click on header tableOptions (properties),,18-08-2025 23:15:43,18-08-2025 23:15:43,0.110s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Page_support_exercises_data/link_customizingDataList""))",Chrome 139.0.7258.128,Step 6: Click on link customizingDataList,,18-08-2025 23:15:43,18-08-2025 23:15:43,0.086s,PASSED
"enhancedClick(findTestObject(""AI-Generated/JustInMind-Production/Dynamic Objects/Page_support_exercises_data/header_tableOptions"", [""header_tableOptions_h2NthChild"":header_tableOptions_h2NthChild_1, ""header_tableOptions_h2NthOfType"":header_tableOptions_h2NthOfType_1]))",Chrome 139.0.7258.128,Step 7: Click on header tableOptions (customizingDataList),,18-08-2025 23:15:43,18-08-2025 23:15:45,2.366s,PASSED
