Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Android_TS,,,,21-08-2025 01:46:02,21-08-2025 01:46:23,21.529s,PASSED
,,,,,,,
Test Cases/Mobile/Android/Android_TestCloud_TC,,,,21-08-2025 01:46:02,21-08-2025 01:46:23,21.375s,PASSED
Start listener action : beforeTestCase,,,,21-08-2025 01:46:02,21-08-2025 01:46:02,0.012s,PASSED
Start listener action : beforeTestCase,,,,21-08-2025 01:46:02,21-08-2025 01:46:10,8.205s,PASSED
"tap(findTestObject(""Object Repository/Mobile/android.widget.TextView - Views""), 0)",,,,21-08-2025 01:46:10,21-08-2025 01:46:12,1.953s,PASSED
"tap(findTestObject(""Object Repository/Mobile/android.widget.TextView - Hover Events (1)""), 0)",,,,21-08-2025 01:46:12,21-08-2025 01:46:13,1.542s,PASSED
pressBack(),,,,21-08-2025 01:46:13,21-08-2025 01:46:13,0.064s,PASSED
pressBack(),,,,21-08-2025 01:46:13,21-08-2025 01:46:14,0.594s,PASSED
"tap(findTestObject(""Object Repository/Mobile/android.widget.TextView - Text""), 0)",,,,21-08-2025 01:46:14,21-08-2025 01:46:17,2.508s,PASSED
"tap(findTestObject(""Object Repository/Mobile/android.widget.TextView - LogTextBox""), 0)",,,,21-08-2025 01:46:17,21-08-2025 01:46:18,1.517s,PASSED
"setText(findTestObject(""Object Repository/Mobile/android.widget.TextView""), ""abc"", 0)",,,,21-08-2025 01:46:18,21-08-2025 01:46:19,0.847s,PASSED
Start listener action : afterTestCase,,,,21-08-2025 01:46:19,21-08-2025 01:46:23,4.076s,PASSED
